x y vx vy
-0.0961566 0.114078 -0.11221 -0.0945819 
1.03931 1.27213 -0.476995 0.389698 
0.84746 0.714837 -0.39183 0.464526 
1.3775 -0.451609 0.193236 0.58941 
1.30715 -1.33727 0.433044 0.42329 
-1.04653 -1.26099 0.474085 -0.393454 
-0.444636 0.711281 -0.476992 -0.298178 
0.525503 -0.742602 0.472436 0.33432 
0.291814 0.612115 -0.460897 0.219724 
-0.327743 0.165912 -0.150886 -0.298059 
0.715352 0.346653 -0.240091 0.495451 
0.893667 0.505847 -0.294772 0.520766 
1.42728 0.649869 -0.256195 0.562669 
1.86038 0.264626 -0.0852087 0.599036 
-1.0186 -0.866889 0.401673 -0.471967 
-1.87725 -0.00783459 0.0025256 -0.605161 
-1.45723 -0.544761 0.2166 -0.579404 
-0.378101 0.73464 -0.497254 -0.255924 
1.1604 1.12163 -0.428753 0.443576 
-0.876566 1.04123 -0.474377 -0.399359 
-1.35852 1.29823 -0.41803 -0.437444 
-0.486953 -0.750603 0.482904 -0.313283 
0.42701 -1.2337 0.585008 0.202484 
1.76029 -0.642554 0.207572 0.568648 
1.99804 -0.0106306 0.00318298 0.598247 
-0.871211 1.60378 -0.534189 -0.290184 
-0.583151 0.541533 -0.374819 -0.403624 
1.3694 -0.46609 0.199865 0.587217 
-1.41547 0.36033 -0.152999 -0.601021 
-0.182823 -1.85335 0.603043 -0.0594869 
-1.66786 -0.0272431 0.0100444 -0.61493 
0.206781 1.71653 -0.608113 0.073256 
-0.720299 -1.07067 0.513289 -0.345319 
-1.34623 0.515804 -0.221944 -0.579264 
0.297557 1.52721 -0.607145 0.118295 
1.11305 0.646908 -0.310817 0.53478 
0.518069 0.562522 -0.398247 0.366777 
-1.5037 -0.285581 0.115521 -0.608263 
-0.14574 -0.818124 0.551817 -0.0983 
1.02127 0.493945 -0.265603 0.549155 
1.03796 -0.277179 0.155882 0.583738 
-0.459724 0.705564 -0.472007 -0.307545 
0.561112 -0.654724 0.431509 0.369812 
-1.09011 -0.00630271 0.00350296 -0.605868 
0.972517 0.432391 -0.245003 0.551051 
-0.0145019 -0.731452 0.530341 -0.0105146 
-1.00216 -0.294545 0.169384 -0.576314 
0.117448 -0.287619 0.268414 0.109605 
-0.366188 0.739002 -0.500751 -0.24813 
-0.053547 -0.786347 0.547312 -0.0372697 
0.219643 0.916935 -0.569066 0.136314 
-1.00394 -0.280827 0.161746 -0.578234 
-0.354372 0.849579 -0.536154 -0.223638 
-0.598044 -0.998886 0.525368 -0.314543 
1.48075 0.966819 -0.33388 0.511361 
0.394574 1.12896 -0.580018 0.202718 
0.658389 0.417915 -0.292649 0.461043 
0.892938 -1.60003 0.530524 0.296073 
0.367524 -0.200987 0.178036 0.325557 
-1.49934 1.16014 -0.369718 -0.477816 
-1.19056 1.59682 -0.479919 -0.357819 
-0.392295 -0.512509 0.394707 -0.302125 
1.33306 -1.31927 0.425754 0.430204 
-0.403199 0.725851 -0.489827 -0.272091 
1.39344 1.17407 -0.391808 0.465014 
0.440035 -1.22784 0.582736 0.208842 
1.52927 -0.457099 0.176831 0.591606 
-1.96395 0.248261 -0.0751652 -0.594621 
-1.27047 -1.14261 0.410167 -0.456068 
0.566082 -1.89648 0.574338 0.171435 
-1.28947 0.621005 -0.26918 -0.558933 
-0.48133 -1.63377 0.588598 -0.173408 
0.785264 0.119978 -0.0831291 0.544087 
-0.270754 -1.37717 0.608738 -0.119679 
1.24831 1.01314 -0.388889 0.47916 
-0.959502 0.166694 -0.101078 -0.581811 
-0.765021 -0.499393 0.316795 -0.485298 
0.996193 1.39568 -0.499042 0.3562 
-0.486522 1.71701 -0.586833 -0.166282 
0.354705 -1.75582 0.597541 0.120713 
0.693776 0.863104 -0.473565 0.380658 
0.0255808 -1.25247 0.617165 0.0126052 
-1.50432 -0.030669 0.0126298 -0.619492 
0.646602 -0.0210108 0.0161645 0.497458 
0.742132 1.65932 -0.555288 0.248353 
-0.169001 -0.656777 0.494506 -0.127245 
-0.171632 1.89498 -0.601304 -0.0544612 
-0.425132 1.3254 -0.590707 -0.189473 
1.71407 0.923244 -0.285126 0.529357 
0.897244 -0.869531 0.429498 0.443187 
0.153915 -0.767341 0.536245 0.107562 
-0.225277 0.802642 -0.540316 -0.15165 
1.71927 0.601681 -0.200868 0.57397 
-1.3588 1.29698 -0.417799 -0.437713 
-1.69834 -0.814549 0.261555 -0.545344 
1.9937 -0.0577758 0.0173358 0.598215 
0.134903 1.986 -0.597325 0.0405745 
-0.522942 -0.152408 0.125424 -0.430353 
-1.92533 0.40693 -0.124081 -0.587073 
0.643164 -1.45618 0.564942 0.249523 
-1.50722 -0.203407 0.0828304 -0.613765 
1.25712 -0.67109 0.292162 0.547291 
0.489828 -0.0290735 0.0247301 0.416652 
-1.02537 1.02292 -0.438082 -0.439134 
1.43676 -1.22102 0.391602 0.460793 
-0.296936 -0.201494 0.183996 -0.271149 
-0.630349 -1.56964 0.569857 -0.228848 
0.640572 -1.33164 0.558726 0.268768 
0.322527 -0.707354 0.496201 0.226249 
1.00555 0.0252392 -0.0149415 0.595278 
-1.21756 0.146249 -0.0734748 -0.611695 
1.3512 -0.575331 0.242934 0.570545 
-1.83734 -0.689687 0.210982 -0.562061 
-0.783142 -0.025366 0.0177147 -0.546918 
-0.792167 -1.34143 0.532581 -0.314511 
-0.100811 0.383971 -0.344057 -0.0903312 
1.50823 0.136165 -0.0556984 0.616942 
-0.956494 -1.34367 0.501599 -0.357064 
-1.22722 0.753985 -0.324732 -0.528548 
-1.30733 0.52035 -0.229429 -0.576417 
-0.951203 0.481253 -0.272341 -0.538285 
-1.11476 -1.19119 0.450013 -0.42114 
1.87459 -0.326225 0.103514 0.594824 
-0.768358 0.141527 -0.0990006 -0.53748 
-0.937809 -1.36388 0.507169 -0.348731 
0.423507 0.473657 -0.367287 0.3284 
-0.733965 0.523121 -0.334903 -0.469885 
1.27183 -1.38114 0.445159 0.40993 
0.465297 -1.3834 0.587839 0.197715 
0.666765 0.576013 -0.374354 0.433335 
-0.437927 1.93107 -0.584481 -0.132549 
0.479676 -0.695863 0.464468 0.32017 
-0.821268 -1.42358 0.533503 -0.30778 
-1.11239 -0.409078 0.211837 -0.576042 
1.93839 0.381586 -0.11581 0.588298 
-1.14761 0.672367 -0.313224 -0.534616 
-1.27971 0.636412 -0.276247 -0.555481 
0.444682 -1.65682 0.592137 0.158927 
-0.988204 -0.372451 0.212347 -0.563408 
0.00714836 1.83177 -0.607572 0.00237101 
-0.208942 -1.49001 0.613618 -0.086047 
0.548162 0.339451 -0.261545 0.422356 
1.02188 -1.53492 0.505219 0.336353 
-1.77721 -0.446378 0.147998 -0.589242 
-0.562903 1.19078 -0.559933 -0.264689 
-1.50541 1.15601 -0.367881 -0.479072 
1.00403 -1.40162 0.498108 0.356811 
-0.436661 -1.65306 0.592996 -0.156642 
-0.602913 1.70061 -0.573965 -0.203487 
-0.532023 -0.114249 0.0940532 -0.437977 
-0.270696 -0.586105 0.451331 -0.20845 
0.886196 0.651958 -0.35964 0.488852 
1.23845 -0.0580735 0.0288881 0.616058 
0.515546 -1.71967 0.583748 0.175004 
-1.11578 1.47779 -0.484057 -0.365478 
-1.64402 0.0835285 -0.0312481 -0.61503 
1.71606 -0.00292842 0.00104618 0.613067 
-1.47537 -0.453446 0.181808 -0.591547 
1.67961 0.141884 -0.0517106 0.612148 
1.83258 0.0957425 -0.0316906 0.606579 
-0.367166 -1.67582 0.598883 -0.131213 
0.045826 -0.405502 0.36126 0.0408262 
-1.4478 0.0850673 -0.0363821 -0.619205 
-0.38354 0.734053 -0.496131 -0.259226 
0.816124 1.73194 -0.545566 0.257082 
-1.22972 1.06905 -0.404413 -0.465193 
-0.285434 1.41405 -0.608058 -0.12274 
1.13594 1.18362 -0.444453 0.42655 
0.871027 -0.353472 0.219841 0.541732 
-1.41369 -0.683356 0.269043 -0.556584 
-1.8477 -0.0854021 0.0280095 -0.605996 
-1.18887 -1.10014 0.418871 -0.452658 
0.97726 1.0174 -0.447427 0.429776 
0.4701 1.08603 -0.563147 0.243764 
1.55936 -1.22106 0.36948 0.471847 
-0.929256 -0.229299 0.140796 -0.570588 
0.359291 0.553092 -0.42185 0.274036 
-1.69086 0.333189 -0.118467 -0.601192 
1.0111 0.141102 -0.0825951 0.591855 
1.09577 -0.269237 0.145431 0.59189 
1.25957 -0.862681 0.3499 0.510879 
-0.697696 1.13832 -0.528363 -0.323842 
1.39795 -0.114335 0.0505713 0.618325 
-1.29194 -1.14178 0.405753 -0.459116 
-1.35499 -0.959711 0.355637 -0.502113 
0.613785 0.115667 -0.0903485 0.479434 
-0.642791 0.603021 -0.391833 -0.417675 
-1.3715 0.549331 -0.230531 -0.575561 
-0.685403 -1.77177 0.563256 -0.217894 
-0.51837 -1.05706 0.550599 -0.270008 
0.832788 1.51922 -0.536968 0.294348 
-0.319604 -1.16606 0.593302 -0.162617 
0.0397723 -0.853912 0.565898 0.0263575 
0.557978 -1.70888 0.579205 0.18912 
-0.416678 0.152375 -0.133164 -0.364145 
-1.39738 -0.731814 0.286712 -0.547472 
-0.579444 0.278832 -0.21509 -0.446981 
-0.476525 1.05256 -0.557233 -0.252276 
-1.0075 -1.59392 0.511157 -0.323098 
-1.79113 0.16959 -0.0574266 -0.606513 
-1.10474 1.48684 -0.486829 -0.361722 
0.363059 -0.206281 0.182855 0.321829 
-1.59548 1.04612 -0.330901 -0.504671 
1.50532 0.0894699 -0.0367595 0.618473 
0.816281 -1.07895 0.494436 0.374066 
1.6513 0.118732 -0.0441406 0.613896 
1.50491 0.256262 -0.103947 0.61043 
1.44772 -0.266552 0.11228 0.609824 
-1.00292 -0.290387 0.167048 -0.576938 
-0.814438 0.435613 -0.274273 -0.51279 
-0.616357 1.23717 -0.555207 -0.276604 
-1.49858 -0.339341 0.136708 -0.603724 
-1.16352 0.787207 -0.34765 -0.513837 
-1.24954 -1.04517 0.395489 -0.472823 
0.998536 -0.690345 0.349995 0.506244 
-1.3264 -0.885988 0.342989 -0.513482 
-0.810221 0.623484 -0.364565 -0.473754 
0.564384 1.33216 -0.571153 0.241976 
-0.363749 1.45675 -0.601213 -0.150122 
1.72287 -0.0932031 0.0330953 0.61177 
0.365606 0.227645 -0.200371 0.321803 
-1.90438 -0.223628 0.0703189 -0.598826 
0.306949 -0.773992 0.521422 0.206785 
0.985624 0.564359 -0.303169 0.529469 
-0.826631 -0.14599 0.0978586 -0.554101 
-1.41265 -0.68607 0.270066 -0.556081 
0.228925 -0.275824 0.251918 0.209084 
-1.08763 0.381733 -0.202503 -0.576968 
-1.77528 -0.0614762 0.0211227 -0.609969 
0.25714 -0.760596 0.523725 0.177059 
-0.643998 0.280103 -0.207363 -0.476758 
-0.846991 0.388732 -0.243237 -0.529978 
1.08042 1.22624 -0.462371 0.407385 
1.38917 -0.848035 0.321209 0.526173 
0.41116 -1.54933 0.59661 0.158328 
1.36639 0.995981 -0.361739 0.496271 
-0.0672711 0.761078 -0.53909 -0.0476497 
-1.1165 0.840692 -0.373166 -0.495592 
-0.979001 -1.43563 0.505726 -0.344871 
-0.597972 -1.38627 0.568867 -0.245383 
0.498555 -0.00722157 0.00611381 0.422078 
-0.42334 -0.207435 0.178448 -0.364184 
-1.97781 0.0665968 -0.0201713 -0.599052 
-0.574579 -0.416022 0.306443 -0.423237 
0.228466 -1.27028 0.608874 0.109509 
0.613303 -0.512166 0.353659 0.423496 
-0.50382 -1.0657 0.554496 -0.262142 
1.49662 -0.870748 0.307967 0.529326 
1.92713 -0.396853 0.12103 0.587727 
0.17116 -1.24395 0.611652 0.0841596 
-0.120211 -0.809891 0.551209 -0.081815 
0.352623 -0.214859 0.19093 0.31335 
-0.248946 -0.173157 0.162101 -0.233051 
0.0446473 0.93463 -0.583173 0.0278582 
0.36626 -1.09853 0.580461 0.193531 
1.76653 0.484044 -0.160564 0.585983 
1.41482 0.681518 -0.268281 0.556945 
0.955621 0.498347 -0.279548 0.536056 
-1.36871 1.27011 -0.41201 -0.443994 
1.16495 -0.552256 0.264986 0.558971 
0.00533183 -0.109683 0.108701 0.00528411 
-1.42584 0.332648 -0.140899 -0.603938 
-0.0217824 0.593047 -0.472948 -0.0173712 
1.52443 -1.13493 0.360624 0.484389 
-0.857229 0.371127 -0.231842 -0.53551 
1.95694 0.293136 -0.0887954 0.592787 
0.00392457 1.2503 -0.61719 0.0019373 
-0.23805 1.24313 -0.60678 -0.116194 
0.799251 -0.189024 0.12841 0.542954 
1.53206 0.460408 -0.177677 0.591239 
-0.0940225 -1.73886 0.611063 -0.0330411 
0.367938 1.67489 -0.598841 0.131553 
-1.50083 1.16009 -0.36944 -0.477951 
-1.40785 0.382106 -0.162454 -0.598551 
0.266067 -0.756538 0.521284 0.183331 
1.41141 1.2914 -0.40718 0.445019 
-0.932124 0.230015 -0.140923 -0.571083 
-0.980027 0.486424 -0.269546 -0.543071 
-0.11499 -1.96133 0.599199 -0.03513 
0.9813 1.42887 -0.504745 0.346641 
-0.870396 -0.562287 0.325379 -0.503673 
0.70279 0.699842 -0.418692 0.420455 
-1.00905 -0.238628 0.138019 -0.583619 
1.37296 0.149155 -0.0669923 0.616658 
-0.894171 0.0213464 -0.0137363 -0.575396 
0.0866219 0.131717 -0.129314 0.0850416 
1.16645 -0.789353 0.347702 0.513808 
0.00669236 -0.748624 0.536191 0.0047933 
-0.607661 -1.57814 0.573091 -0.220668 
0.896502 -0.305278 0.188869 0.554646 
-0.398556 -1.39498 0.596405 -0.170398 
-0.416012 0.0636865 -0.0563549 -0.36812 
-1.64493 0.982128 -0.30914 -0.517766 
0.66967 0.698193 -0.425411 0.408031 
1.47138 0.484877 -0.193649 0.587637 
-1.0027 0.949229 -0.426433 -0.450452 
-1.17254 -1.11755 0.425497 -0.446434 
1.02543 -0.626005 0.320319 0.524701 
-1.60794 0.747116 -0.257247 -0.553646 
0.496397 0.319616 -0.255402 0.396666 
-1.98778 0.102551 -0.0308469 -0.597915 
-0.646236 -0.629642 0.402813 -0.413429 
-0.0768077 0.762308 -0.539132 -0.0543212 
1.38468 -1.27434 0.40964 0.445108 
-1.21502 1.41186 -0.45929 -0.395259 
-0.75268 1.09074 -0.509898 -0.351862 
-0.454393 0.094096 -0.0812926 -0.392565 
0.4357 -0.13058 0.113404 0.378388 
1.96545 -0.251525 0.0760665 0.594394 
-0.0232263 -1.71154 0.613197 -0.00832134 
-1.66938 -0.558284 0.193814 -0.579543 
-1.00244 0.950523 -0.4268 -0.450112 
1.10903 -1.48519 0.485912 0.362843 
1.49453 -0.0339705 0.0140837 0.619615 
0.619178 -1.37431 0.56489 0.254504 
-0.365541 0.21844 -0.192776 -0.322593 
1.40928 1.17625 -0.389195 0.466297 
-1.39695 1.02945 -0.363201 -0.492858 
-0.979612 -0.412211 0.233831 -0.555696 
0.971894 1.33406 -0.497614 0.362524 
0.239246 -0.168716 0.158626 0.224937 
0.340305 -1.38868 0.60255 0.147659 
1.00162 -0.796495 0.384831 0.48394 
1.47651 0.465106 -0.185903 0.590163 
-0.425244 -1.27261 0.587873 -0.196439 
-1.55569 1.08702 -0.345974 -0.49514 
0.766961 0.861501 -0.456753 0.406629 
-0.316694 -1.16401 0.593457 -0.161464 
0.479768 -0.0533077 0.0455578 0.410019 
0.886107 -0.175254 0.112034 0.566457 
0.51926 1.40221 -0.581198 0.215227 
0.711274 -1.66637 0.559736 0.238918 
-1.07302 1.08383 -0.440062 -0.435673 
0.630744 -0.0597692 0.0464038 0.489699 
-0.865543 1.60976 -0.535312 -0.287829 
1.04416 0.594692 -0.304247 0.534196 
-0.528835 -1.0506 0.547691 -0.275689 
1.75531 -0.807576 0.251658 0.546993 
1.54372 0.171338 -0.0682425 0.614852 
0.0128333 -1.43145 0.620348 0.00556155 
0.148553 0.720638 -0.520935 0.107386 
-0.0276193 -0.229076 0.220335 -0.0265654 
0.825072 0.755177 -0.410924 0.448957 
-1.19864 -0.479285 0.229691 -0.574431 
1.47839 -0.466727 0.186261 0.589994 
0.391967 -0.181567 0.159701 0.344762 
-1.48915 -0.723705 0.269026 -0.553567 
-0.413718 1.4497 -0.595785 -0.170026 
1.44688 -1.02806 0.353551 0.497586 
0.230866 -1.75495 0.605416 0.079643 
-1.79523 0.731126 -0.226968 -0.557305 
-0.00765142 -0.246284 0.235634 -0.00732055 
0.903253 0.620147 -0.343251 0.499949 
-0.369416 0.161643 -0.144373 -0.329947 
1.01189 0.599702 -0.312619 0.527489 
-0.262614 1.14939 -0.597944 -0.136619 
0.620127 -0.255683 0.193505 0.469321 
0.960355 -0.482033 0.271048 0.540009 
0.938236 0.533364 -0.298859 0.52572 
-1.22812 0.706731 -0.309437 -0.537725 
-1.01533 0.939302 -0.42124 -0.455335 
1.42352 0.661298 -0.260459 0.560668 
0.577642 -1.70513 0.57696 0.195456 
-0.367743 -1.91317 0.590379 -0.113481 
0.675973 1.04921 -0.518757 0.33422 
-0.318147 0.748621 -0.511513 -0.217382 
0.117807 0.812347 -0.552035 0.0800562 
0.60216 0.994557 -0.523706 0.317081 
0.062791 1.74649 -0.611279 0.0219771 
0.64956 -1.04597 0.523587 0.325153 
1.39896 1.07728 -0.372686 0.483972 
-0.856451 0.372051 -0.23248 -0.535162 
-0.531645 0.991062 -0.536811 -0.287966 
-0.808702 0.523223 -0.319814 -0.494309 
-0.748915 0.505937 -0.323302 -0.478568 
-0.745895 1.84283 -0.555104 -0.224682 
1.36728 -0.469361 0.201402 0.586698 
1.49263 0.375816 -0.151123 0.600218 
-1.22983 -1.35416 0.449869 -0.408564 
0.938018 1.42805 -0.512679 0.336753 
-0.760787 0.491901 -0.313825 -0.48537 
0.581948 -0.828715 0.488109 0.342765 
1.51259 0.0179824 -0.00736416 0.619437 
-0.891089 0.895179 -0.437783 -0.435782 
-0.775673 1.64457 -0.550143 -0.259479 
-0.212704 -0.147462 0.140462 -0.202608 
0.295911 1.22381 -0.600253 0.145138 
0.395221 1.13127 -0.580179 0.202692 
-0.229388 -1.85897 0.600837 -0.0741405 
-1.56572 -0.498538 0.186873 -0.586896 
1.78248 -0.2683 0.0906544 0.602272 
-1.87394 0.557871 -0.171418 -0.575806 
-0.767225 -1.48937 0.546484 -0.281513 
-0.755128 -1.67767 0.553662 -0.249206 
-0.401738 1.1554 -0.581774 -0.202285 
1.20622 1.46727 -0.466538 0.383533 
0.117993 -1.62994 0.614634 0.0444938 
-1.16018 -1.16072 0.43568 -0.435477 
-0.293831 -0.490409 0.396684 -0.237676 
-0.852971 0.0279133 -0.0185178 -0.565865 
0.116739 -0.388556 0.346593 0.104132 
1.44561 0.59683 -0.235974 0.571565 
0.528919 -0.780901 0.484535 0.328185 
-1.06505 0.326788 -0.178409 -0.581462 
1.37619 -0.741288 0.293254 0.544424 
0.735636 -0.523399 0.334701 0.47042 
-1.38565 1.27274 -0.409218 -0.445523 
1.05001 -0.907301 0.405581 0.469374 
1.8953 -0.498849 0.15285 0.580732 
-0.66978 -0.759515 0.447345 -0.394492 
1.04588 1.26356 -0.474555 0.392801 
0.489489 -0.283449 0.230175 0.397491 
-0.729064 0.409763 -0.275298 -0.48982 
0.403247 -1.74133 0.59408 0.137574 
0.171831 0.960597 -0.581615 0.104039 
0.721887 -1.12869 0.522133 0.333945 
-1.63662 1.03779 -0.322262 -0.508216 
-0.0845326 -0.727538 0.527188 -0.0612539 
0.821782 -0.555318 0.332226 0.491642 
0.415313 -1.61403 0.595664 0.153273 
-1.40005 1.08671 -0.374351 -0.48229 
-0.624071 1.54503 -0.570312 -0.230361 
-0.227644 1.25768 -0.608359 -0.110115 
0.223012 -0.616002 0.471264 0.170613 
0.736627 0.868058 -0.465371 0.39491 
-1.42147 -0.770041 0.293809 -0.54236 
1.7698 -0.253882 0.0865876 0.603597 
1.53927 0.248353 -0.098515 0.610585 
-0.930833 -1.36883 0.508959 -0.346103 
-1.42996 -0.636429 0.251421 -0.564906 
-1.67813 0.887845 -0.282461 -0.533884 
1.29076 0.010889 -0.00521882 0.618626 
0.12797 -0.902446 0.573381 0.0813073 
1.17468 0.244182 -0.125095 0.601789 
-0.718796 0.332409 -0.230727 -0.498922 
0.888698 0.303449 -0.188862 0.553112 
0.984253 0.442146 -0.247791 0.551603 
0.326613 -0.764571 0.515541 0.220231 
1.36191 -1.14778 0.393174 0.466525 
1.98882 -0.109403 0.03288 0.597723 
-1.32702 -0.192075 0.0887871 -0.613418 
0.696118 1.24003 -0.540983 0.303693 
-0.364859 0.740738 -0.501569 -0.247054 
1.07771 1.3263 -0.476028 0.386807 
1.97866 -0.155966 0.0470732 0.597192 
-1.35357 -0.83201 0.323456 -0.52622 
1.01539 -0.939596 0.421298 0.455284 
1.44376 0.593013 -0.234971 0.572064 
0.13154 1.4514 -0.617686 0.0559806 
1.43205 -0.316793 0.133945 0.605493 
-0.976835 0.111645 -0.0672266 -0.588196 
-0.374871 -1.13796 0.583698 -0.192284 
0.220039 -0.764209 0.529159 0.152361 
1.50851 1.04219 -0.345302 0.499807 
1.95067 -0.30542 0.0927592 0.592439 
0.510635 1.73332 -0.584021 0.172052 
-0.412194 -1.85176 0.589648 -0.131253 
-0.336848 -1.64045 0.602194 -0.123654 
1.2151 -1.1613 0.424583 0.444255 
1.2162 0.524878 -0.245476 0.568796 
-0.340006 0.0253843 -0.0233746 -0.313088 
-0.102608 -1.23225 0.614457 -0.0511648 
1.00079 -1.29687 0.48776 0.376401 
0.140663 0.707136 -0.516603 0.102762 
0.929197 -1.55793 0.522592 0.31169 
1.48429 -0.11703 0.0487223 0.617944 
-1.90455 0.47312 -0.144739 -0.582651 
1.75504 -0.715801 0.228167 0.559432 
1.15331 -0.799707 0.353509 0.50982 
-0.379492 0.192752 -0.170123 -0.334942 
-1.452 0.250254 -0.105316 -0.61105 
-0.883264 1.03566 -0.471814 -0.402385 
0.501043 -0.68674 0.456713 0.333216 
0.682608 -1.78481 0.563504 0.215515 
0.506617 1.62372 -0.585851 0.182792 
-0.284713 1.96317 -0.592907 -0.0859877 
0.504971 -0.873545 0.51592 0.298238 
-0.797787 1.63821 -0.546691 -0.266232 
0.00992803 -0.772629 0.543853 0.00698833 
-1.22658 -1.04423 0.399973 -0.469817 
0.508222 0.0318173 -0.0267649 0.42752 
0.0999346 -0.283253 0.265485 0.0936657 
-0.702794 -1.5923 0.559886 -0.247117 
0.287135 -1.25268 0.602841 0.138181 
-0.908547 -0.607363 0.336875 -0.503928 
0.781501 0.147282 -0.101982 0.541131 
1.19485 0.394909 -0.193788 0.586329 
-1.56056 -0.331696 0.128379 -0.603996 
-1.4631 0.204044 -0.0856384 -0.614071 
0.532678 1.37904 -0.578354 0.223399 
0.534655 -0.669463 0.44303 0.353818 
0.604278 -0.00275172 0.0021788 0.478464 
0.556012 1.0305 -0.539309 0.290988 
0.683547 -1.45113 0.558381 0.263022 
-0.0788497 1.7543 -0.61067 -0.0274475 
0.418499 1.67173 -0.594412 0.148805 
0.242087 1.86045 -0.600168 0.0780953 
-0.185783 -0.0445336 0.0433522 -0.180855 
1.9909 -0.0973988 0.0292467 0.597825 
0.849931 1.69248 -0.53999 0.271173 
-1.22281 -0.24248 0.12002 -0.605251 
-0.0455985 0.272382 -0.257773 -0.0431528 
1.97519 -0.211608 0.0638017 0.595537 
0.926281 -1.58158 0.52423 0.307025 
-1.26081 -0.436792 0.202857 -0.585552 
-0.22087 0.938312 -0.573208 -0.134928 
-0.0392041 -1.24546 0.616707 -0.0194124 
0.365081 1.29734 -0.596741 0.167928 
-0.0197575 0.263455 -0.250455 -0.0187826 
1.69666 -0.784106 0.254061 0.549741 
0.376993 -0.167449 0.148833 0.33508 
-1.21005 0.749966 -0.326828 -0.527326 
1.15453 1.13955 -0.433179 0.438874 
1.81539 -0.689069 0.213473 0.562406 
-0.289446 1.25473 -0.602724 -0.139039 
-0.584085 -1.58774 0.57632 -0.212012 
-1.83421 0.415943 -0.133793 -0.589995 
-1.23848 0.157495 -0.0778502 -0.612185 
0.494811 1.08608 -0.558995 0.254674 
0.355711 0.555214 -0.423514 0.271335 
-1.64593 0.976182 -0.307681 -0.518777 
-1.03657 -1.27128 0.477436 -0.389291 
-1.91181 0.447357 -0.136774 -0.584512 
0.874573 1.76699 -0.537581 0.266076 
-1.33238 0.542052 -0.233769 -0.574612 
-1.73744 -0.846566 0.263722 -0.541245 
-1.38629 0.665461 -0.267866 -0.558021 
-1.28887 -0.956469 0.367807 -0.495632 
-1.48285 -0.7605 0.280687 -0.547292 
1.22061 -0.747559 0.324008 0.529039 
-0.532869 -1.0456 0.546151 -0.278334 
1.10784 0.162899 -0.0885579 0.60226 
1.09506 0.0847648 -0.0468231 0.6049 
1.08576 -0.871036 0.38819 0.483885 
-0.726821 1.66633 -0.557554 -0.243194 
